-------------------------------------------------------------------------
Benchmark                               Time             CPU   Iterations
toss_me/2048                    444741608 ns    444647505 ns            1
toss_me/2048                    437535831 ns    437398410 ns            1
toss_me/2048                    448097607 ns    448089490 ns            1
toss_me/2048                    450786871 ns    450778623 ns            1
toss_me/2048                    444520952 ns    444506980 ns            1
toss_me/2048                    440669281 ns    440661449 ns            1
toss_me/2048                    440375558 ns    440356206 ns            1
toss_me/2048_mean               450413327 ns    450308222 ns           40
toss_me/2048_median             439166679 ns    439065637 ns           40
toss_me/2048_stddev              69358769 ns     69333619 ns           40
toss_me/4096                   3493078954 ns   3490930610 ns            1
toss_me/4096                   1716732271 ns   1716454739 ns            1
toss_me/4096                   1709215363 ns   1708803739 ns            1
toss_me/4096                   1708604386 ns   1708238949 ns            1
toss_me/4096                   1708424155 ns   1708121048 ns            1
toss_me/4096                   1714178700 ns   1713593850 ns            1
toss_me/4096                   1724452642 ns   1723823306 ns            1
toss_me/4096                   1699652665 ns   1699028202 ns            1
toss_me/4096                   1711944683 ns   1711603852 ns            1
toss_me/4096                   1698443948 ns   1697854373 ns            1
toss_me/4096                   1691090431 ns   1690779694 ns            1
toss_me/4096                   1683968906 ns   1683489993 ns            1
toss_me/4096                   1697808801 ns   1697240463 ns            1
toss_me/4096                   1710349875 ns   1709790550 ns            1
toss_me/4096                   1702673696 ns   1701953130 ns            1
toss_me/4096                   1728108615 ns   1727764377 ns            1
toss_me/4096                   1687910842 ns   1687391171 ns            1
toss_me/4096                   1705073024 ns   1704602397 ns            1
toss_me/4096                   1700637302 ns   1700226914 ns            1
toss_me/4096                   1717691095 ns   1716976603 ns            1
toss_me/4096                   1703652334 ns   1703106814 ns            1
toss_me/4096                   1697130874 ns   1696663802 ns            1
toss_me/4096                   1688606819 ns   1688174278 ns            1
toss_me/4096                   1699229280 ns   1698467121 ns            1
toss_me/4096                   1702879890 ns   1702579265 ns            1
toss_me/4096                   1702820051 ns   1702343213 ns            1
toss_me/4096                   1696882626 ns   1696218235 ns            1
toss_me/4096                   1699213897 ns   1698841985 ns            1
toss_me/4096                   1710366057 ns   1709892630 ns            1
toss_me/4096                   1698281863 ns   1697734538 ns            1
toss_me/4096                   1683582869 ns   1683261665 ns            1
toss_me/4096                   1688926990 ns   1688593305 ns            1
toss_me/4096                   1706638697 ns   1706015401 ns            1
toss_me/4096                   1709393501 ns   1708753182 ns            1
toss_me/4096                   1693512641 ns   1693256912 ns            1
toss_me/4096                   1702287711 ns   1701689108 ns            1
toss_me/4096                   1694064195 ns   1693594796 ns            1
toss_me/4096                   1694563178 ns   1693351038 ns            1
toss_me/4096                   1706261509 ns   1705761863 ns            1
toss_me/4096                   1700734048 ns   1700227334 ns            1
toss_me/4096_mean              1747226735 ns   1746679861 ns           40
toss_me/4096_median            1702480703 ns   1701821119 ns           40
toss_me/4096_stddev             283298687 ns    283039117 ns           40
toss_me/8192                   14771138531 ns   14766920926 ns            1
toss_me/8192                   9219745125 ns   9218549385 ns            1
toss_me/8192                   6796684407 ns   6794376955 ns            1
toss_me/8192                   7972404470 ns   7970190311 ns            1
toss_me/8192                   6903168472 ns   6902009787 ns            1
toss_me/8192                   8125609379 ns   8123374085 ns            1
toss_me/8192                   8546473125 ns   8544015215 ns            1
toss_me/8192                   9037604811 ns   9034891265 ns            1
toss_me/8192                   7140019865 ns   7137613131 ns            1
toss_me/8192                   6756512244 ns   6754267085 ns            1
toss_me/8192                   6051014200 ns   6049106503 ns            1
toss_me/8192                   6794367449 ns   6792355570 ns            1
toss_me/8192                   5469815161 ns   5468477006 ns            1
toss_me/8192                   5385292884 ns   5383576269 ns            1
toss_me/8192                   5387263871 ns   5386088793 ns            1
toss_me/8192                   5376448775 ns   5374925429 ns            1
toss_me/8192                   5392893474 ns   5391170917 ns            1
toss_me/8192                   5406462544 ns   5405213620 ns            1
toss_me/8192                   5364447806 ns   5362773557 ns            1
toss_me/8192                   5397517334 ns   5395754145 ns            1
toss_me/8192                   5390340264 ns   5388726687 ns            1
toss_me/8192                   5372617597 ns   5370717777 ns            1
toss_me/8192                   5391407032 ns   5390003965 ns            1
